# GrowSpot species light levels — snapshot 2026-09-05 — CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) — attribution: GrowSpot — growspotapp.com
common_name,scientific_name,light_requirement
Kentia Palm,Howea forsteriana,medium
Hoya Mathilde,Hoya 'Mathilde',high
Hoya Australis,Hoya australis,high
Hoya Lisa,Hoya australis 'Lisa',high
Wax Flower Hoya,Hoya bella,high
Bilobata hoya,Hoya bilobata,medium
Callistophylla Hoya,Hoya callistophylla,high
Wax plant (Hoya),Hoya carnosa,high
Hoya Chelsea,Hoya carnosa 'Chelsea',high
Hindu Rope Plant,Hoya carnosa 'Compacta',high
Krimson Princess Hoya,Hoya carnosa 'Krimson Princess',high
Wax Plant Krinkle Kurl,Hoya carnosa 'Krinkle 8',high
Krimson Queen (Tricolor) Wax Plant,Hoya carnosa 'Tricolor',high
Cumingiana Hoya,Hoya cumingiana,high
Hoya Curtisii,Hoya curtisii,high
Finlaysonii Hoya,Hoya finlaysonii,high
Imbricate Hoya,Hoya imbricata,high
Sweetheart Hoya,Hoya kerrii,high
Heartleaf Hoya / Sweetheart Vine,Hoya kerrii 'Variegata',high
Hoya Lacunosa,Hoya lacunosa,high
Hoya Linearis,Hoya linearis,high
Hoya Macrophylla,Hoya macrophylla,high
Hoya Albomarginata,Hoya macrophylla 'Albomarginata',high
Hoya Multiflora (Shooting Star),Hoya multiflora,high
Hoya Obovata,Hoya obovata,high
Pachyclada Hoya,Hoya pachyclada,high
Fishtail hoya,Hoya polyneura,medium
Wax Flower Hoya,Hoya pubicalyx,high
Hoya Royal Hawaiian Purple,Hoya pubicalyx 'Royal Hawaiian Purple',high
Hoya Retusa,Hoya retusa,high
Sigillatis Hoya,Hoya sigillatis,high
Hoya Sunrise,Hoya sunrise,high
Bird's Nest Hoya,Hoya wayetii,high
Guineafowl Orchid,Huntleya meleagris,low
Roaring Meg / Brazilian tassel fern,Huperzia phlegmaria,medium
Tassel fern,Huperzia squarrosa,medium
Dutch hyacinth,Hyacinthus orientalis,high
Bigleaf hydrangea,Hydrangea macrophylla,medium
Bottle Palm,Hyophorbe lagenicaulis,high
Polka dot plant,Hypoestes phyllostachya,medium
Confetti Polka Dot Plant,Hypoestes phyllostachya 'Confetti',medium
Pink Polka Dot Plant,Hypoestes phyllostachya 'Pink Splash',medium
Red Polka Dot Plant,Hypoestes phyllostachya 'Red Splash',medium
White Polka Dot Plant,Hypoestes phyllostachya 'White Splash',medium
Garden Balsam,Impatiens balsamina,high
New Guinea impatiens,Impatiens hawkeri,medium
Congo Cockatoo,Impatiens niamniamensis,medium
Creeping Impatiens,Impatiens repens,medium
Poor Man's Rhododendron,Impatiens sodenii,medium
Busy Lizzie impatiens,Impatiens walleriana,medium
Sweet Potato,Ipomoea batatas,high
Bloodleaf,Iresine herbstii,high
Mexican firecracker,Iresine lindenii,high
Ixora,Ixora coccinea,high
Spanish jasmine,Jasminum grandiflorum,high
Star jasmine,Jasminum multiflorum,high
Common jasmine,Jasminum officinale,high
Pink Jasmine,Jasminum polyanthum,high
Arabian Jasmine,Jasminum sambac,high
Buddha Belly Plant,Jatropha podagrica,high
Arrow Jumellea,Jumellea sagittata,medium
Japanese garden juniper / Shimpaku,Juniperus procumbens,high
Justicia Plume Flower,Justicia aurea,high
Shrimp Plant,Justicia brandegeeana,high
Flamingo Plant,Justicia carnea,medium
Felt Bush / Velvet Leaf,Kalanchoe beharensis,high
Flaming Katy / Florist Kalanchoe,Kalanchoe blossfeldiana,high
Calandiva Kalanchoe,Kalanchoe blossfeldiana 'Calandiva',high
Silver teaspoons,Kalanchoe bracteata,very_high
Mother of Thousands,Kalanchoe daigremontiana,high
Mother of Millions / Chandelier Plant,Kalanchoe delagoensis,high
White lady kalanchoe,Kalanchoe eriophylla,very_high
Lavender Scallops,Kalanchoe fedtschenkoi,high
Devil's backbone,Kalanchoe gastonis-bonnieri,high
Desert surprise,Kalanchoe humilis,high
Cutleaf Kalanchoe,Kalanchoe laciniata,high
Christmas tree plant,Kalanchoe laetivirens,high
Long-flowered kalanchoe,Kalanchoe longiflora,high
Paddle Plant / Flapjacks,Kalanchoe luciae,very_high
Chandelier flowers,Kalanchoe manginii,high
Pearl bluff kalanchoe,Kalanchoe marmorata,high
Millot kalanchoe,Kalanchoe millotii,high
Beaver tail,Kalanchoe nyikae,very_high
Cup Kalanchoe / Copper Spoons,Kalanchoe orgyalis,high
Cup kalanchoe,Kalanchoe pinnata,high
Blooming boxes,Kalanchoe prolifera,high
Flower dust plant,Kalanchoe pumila,high
Pies from heaven,Kalanchoe rhombopilosa,high
Red kalanchoe,Kalanchoe sexangularis,very_high
Walking kalanchoe,Kalanchoe synsepala,high
Paddle plant,Kalanchoe thyrsiflora,high
Panda Plant,Kalanchoe tomentosa,high
Tree gloxinia,Kohleria eriantha,medium
Cape cowslip,Lachenalia aloides,high
Lachenalia bulbifera,Lachenalia bulbifera,high
Two-edged Laelia,Laelia anceps,high
Purple Laelia,Laelia purpurata,high
Dusky Laelia,Laelia tenebrosa,high
Lantana,Lantana camara,very_high
Trailing lantana,Lantana montevidensis,very_high
Bay Laurel,Laurus nobilis,high
English Lavender,Lavandula angustifolia,very_high
French Lavender,Lavandula dentata,very_high
Lavandin,Lavandula intermedia,very_high
Portuguese Lavender,Lavandula latifolia,very_high
French Lavender,Lavandula stoechas,very_high
Bicton Orchid,Lemboglossum bictoniense,medium
Green Penny Fern,Lemmaphyllum microphyllum,medium
Bunny ears orchid (miniature),Lepanthopsis astrophora,medium
Shasta Daisy,Leucanthemum superbum,high
Cushion moss / pillow moss,Leucobryum glaucum,low
Ruffled Fan Palm,Licuala grandis,medium
Nerved Twayblade,Liparis nervosa,low
Pebble Plant,Lithops aucampiae,very_high
Bromfield's Living Stone,Lithops bromfieldii,very_high
Dorothy's Living Stone,Lithops dorotheae,very_high
Tawny Living Stone,Lithops fulviceps,very_high
Fairy Elephant's Foot,Lithops gracilidelineata,very_high
Hooker's Living Stone,Lithops hookeri,very_high
Julius' Living Stone,Lithops julii,very_high
Split Rock / Living Stones,Lithops karasmontana,very_high
Living Stones,Lithops lesliei,very_high
Marble Living Stone,Lithops marmorata,very_high
Optica Living Stone,Lithops optica,very_high
Truncate Living Stone,Lithops pseudotruncatella,very_high
Salt-dwelling Living Stone,Lithops salicola,very_high
Villet's Living Stone,Lithops villetii,very_high
Chinese Fan Palm,Livistona chinensis,high
Trailing lobelia,Lobelia erinus,high
Slender Lobelia,Lobelia tenuior,high
Cob Cactus,Lobivia famatimensis,very_high
Sweet alyssum,Lobularia maritima,high
Braided Orchid,Lockhartia oerstedii,medium
False peyote,Lophophora diffusa,very_high
Peyote,Lophophora williamsii,very_high
Jewel Orchid,Ludisia discolor,low
Aromatic Lycaste,Lycaste aromatica,medium
Skinner's Lycaste,Lycaste skinneri,medium
Golden jewel orchid,Macodes petola,low
Siberian Crab Apple,Malus baccata,high
Dwarf Apple (patio),Malus domestica,high
Turk's Cap Mallow,Malvaviscus arboreus,high
Backeberg's Pincushion,Mammillaria backebergiana,very_high
Powder Puff Cactus,Mammillaria bocasana,very_high
Carmen's Pincushion,Mammillaria carmenae,very_high
Mother of Hundreds,Mammillaria compressa,very_high
Pincushion Cactus,Mammillaria crinita,very_high
Golden Pincushion,Mammillaria elongata,very_high
Brain Cactus,Mammillaria elongata cristata,very_high
Twin Spined Cactus,Mammillaria geminispina,very_high
Lady Fingers Cactus,Mammillaria gracilis,very_high
Snowball Cactus,Mammillaria gracilis fragilis,very_high
Old Lady Cactus,Mammillaria hahniana,very_high
Thumb Cactus,Mammillaria matudae,very_high
Owl Eyes Cactus,Mammillaria parkinsonii,very_high
Powderpuff Pincushion,Mammillaria perbella,very_high
Feather Cactus,Mammillaria plumosa,very_high
Texas Nipple Cactus,Mammillaria prolifera,very_high
Rainbow Pincushion,Mammillaria rhodantha,very_high
Sphere Pincushion,Mammillaria sphaerica,very_high
Spiny Pincushion Cactus,Mammillaria spinosissima,very_high
Rose Pincushion,Mammillaria zeilmanniana,very_high
White mandevilla,Mandevilla boliviensis,high
Chilean jasmine,Mandevilla laxa,high
Brazilian Jasmine,Mandevilla sanderi,high
Pink mandevilla (Brazilian jasmine),Mandevilla splendens,high
Mango,Mangifera indica,high
Garlic vine,Mansoa alliacea,high
Arrowroot,Maranta arundinacea,medium
Crested Maranta,Maranta cristata,medium
Rabbit's Foot Prayer Plant,Maranta kerchoveana,medium
Prayer plant,Maranta leuconeura,medium
Fascinator Prayer Plant,Maranta leuconeura 'Fascinator',medium
Lemon Lime Maranta,Maranta leuconeura 'Lemon Lime',medium
Red Prayer Plant,Maranta leuconeura var. erythroneura,medium
Green Prayer Plant / Rabbit's Foot Prayer Plant,Maranta leuconeura var. kerchoveana,medium
Black Maranta,Maranta leuconeura var. massangeana,medium
Night-Flowering Maranta,Maranta noctiflora,medium
Rectangle-leaf Marcgravia,Marcgravia rectiflora,medium
Shingle plant Marcgravia,Marcgravia umbellata,medium
Scarlet Masdevallia,Masdevallia coccinea,low
Dwarf masdevallia,Masdevallia floribunda,medium
Veitch's Masdevallia,Masdevallia veitchiana,low
Inca wool cactus,Matucana aurantiaca,very_high
Haynes' matucana,Matucana haynei,very_high
Intertextile matucana,Matucana intertexta,very_high
Madisen's matucana,Matucana madisoniorum,very_high
Painted Maxillaria,Maxillaria picta,medium
Coconut Orchid,Maxillaria tenuifolia,medium
Medinilla,Medinilla magnifica,medium
Lemon Balm,Melissa officinalis,high
Turk's Cap Cactus,Melocactus matanzanus,very_high
Peppermint,Mentha piperita,medium
Pennyroyal,Mentha pulegium,medium
Corsican Mint,Mentha requienii,medium
Spearmint,Mentha spicata,medium
Apple Mint,Mentha suaveolens,medium
Kangaroo Paw Fern,Microsorum diversifolium,medium
Crocodile Fern,Microsorum musifolium,medium
Climbing Bird's Nest Fern,Microsorum punctatum,medium
Wart Fern,Microsorum scolopendria,medium
Clowes' Miltonia,Miltonia clowesii,medium
Showy Miltonia,Miltonia spectabilis,medium
Pansy Orchid,Miltoniopsis phalaenopsis,medium
Roezl's Pansy Orchid,Miltoniopsis roezlii,medium
Pansy Orchid,Miltoniopsis vexillaria,medium
Sensitive Plant,Mimosa pudica,high
Mountain houseleek monanthes,Monanthes polyphylla,medium
Monstera Esqueleto,Monstera 'Esqueleto',medium
Monstera Peru,Monstera 'Peru',medium
Shingle Monstera,Monstera acuminata,medium
Swiss Cheese Vine,Monstera adansonii,medium
Indonesian Marble Adanson's Monstera,Monstera adansonii 'Indonesian Marble',medium
Mint Variegated Swiss Cheese Plant,Monstera adansonii 'Mint Variegata',high
Mint Monstera Adansonii,Monstera adansonii 'Mint',medium
Variegated Monstera Adansonii,Monstera adansonii 'Variegata',medium
Alba Variegated Monstera,Monstera borsigiana 'Alba',high
Swiss cheese plant (Monstera),Monstera deliciosa,medium
White Variegated Swiss Cheese Plant,Monstera deliciosa 'Alba',high
Albo Variegated Monstera,Monstera deliciosa 'Albo Borsigiana',high
Albo Variegata Monstera,Monstera deliciosa 'Albo Variegata',medium
Yellow Variegated Monstera,Monstera deliciosa 'Aurea Variegata',high
Aurea Variegata Monstera,Monstera deliciosa 'Aurea',medium
Variegated Monstera Borsigiana,Monstera deliciosa 'Borsigiana Variegata',medium
Swiss Cheese Plant (Borsigiana),Monstera deliciosa 'Borsigiana',high
Mint Monstera,Monstera deliciosa 'Mint',high
Thai Constellation Monstera,Monstera deliciosa 'Thai Constellation',high
Monstera Dubia,Monstera dubia,medium
Monstera Lechleriana,Monstera lechleriana,medium
Monstera Obliqua,Monstera obliqua,medium
Monstera Pinnatipartita,Monstera pinnatipartita,medium
Silver Monstera,Monstera siltepecana,medium
Monstera Spruceana,Monstera spruceana,medium
Monstera Standleyana,Monstera standleyana,medium
Monstera Standleyana Albo,Monstera standleyana 'Albo Variegata',medium
Goblin Orchid,Mormodes ignea,high
Maidenhair Vine / Wire Vine,Muehlenbeckia complexa,high
Curry Leaf Tree,Murraya koenigii,very_high
Orange jasmine,Murraya paniculata,high
Dwarf Banana,Musa acuminata,high
Variegated Banana,Musa acuminata 'Ae Ae',high
Pink Velvet Banana,Musa velutina,high
Baja California Candelabra Cactus,Myrtillocactus cochal,very_high
Blue Candle Cactus,Myrtillocactus geometrizans,very_high
Boobie Cactus,Myrtillocactus geometrizans 'Fukurokuju',very_high
Dwarf myrtle,Myrtus communis,high
Cape Mystacidium,Mystacidium capense,medium
Paperwhite narcissus,Narcissus papyraceus,high
Tazetta paperwhite 'Ziva',Narcissus tazetta,high
Goldfish Plant,Nematanthus gregarius,medium
Guppy Plant,Nematanthus wettsteinii,high
Trailing nemesia,Nemesia caerulea,high
Confetti Nemesia,Nemesia denticulata,high
Honey-scented Nemesia,Nemesia floribunda,high
Shrubby Nemesia,Nemesia fruticans,high
Balm-leaved Nemesia,Nemesia melissifolia,high
Nemesia,Nemesia strumosa,high
Cape Snapdragon,Nemesia versicolor,high
Wind Orchid,Neofinetia falcata,medium
Flask Bromeliad,Neoregelia ampullacea,high
Blushing Bromeliad,Neoregelia carolinae,high
Concentric Bromeliad,Neoregelia concentrica,high
Bloody Neoregelia,Neoregelia cruenta,high
John's Bromeliad,Neoregelia johannis,high
Marbled Bromeliad,Neoregelia marmorata,high
Few-flowered Neoregelia,Neoregelia pauciflora,high
Fingernail Plant,Neoregelia spectabilis,high
Tropical pitcher plant (winged Nepenthes),Nepenthes alata,high
Red-leaved pitcher plant,Nepenthes ampullaria,medium
Two-spurred pitcher plant,Nepenthes bicalcarata,high
Burbidge's pitcher plant,Nepenthes burbidgeae,high
Toothed pitcher plant,Nepenthes glabrata,high
Slender pitcher plant,Nepenthes gracilis,high
Fanged pitcher plant,Nepenthes hamata,high
Khasi Hills pitcher plant,Nepenthes khasiana,high
Mountain pitcher plant (Nepenthes),Nepenthes lowii,high
Spotted pitcher plant,Nepenthes maxima,high
Hooded pitcher plant,Nepenthes mirabilis,high
Lady Luxembourg's pitcher plant,Nepenthes northiana,high
Rafflesia pitcher plant,Nepenthes rafflesiana,high
Royal pitcher plant,Nepenthes rajah,high
Reinwardt's pitcher plant,Nepenthes reinwardtiana,high
Sanguine pitcher plant,Nepenthes sanguinea,high
Sibuyan pitcher plant,Nepenthes sibuyanensis,high
Sumatran giant pitcher plant,Nepenthes singalana,high
Sumatran pitcher plant,Nepenthes spectabilis,high
Square-stemmed pitcher plant,Nepenthes tetbuana,high
Truncate-leaf pitcher plant,Nepenthes truncata,high
Veitch's pitcher plant,Nepenthes veitchii,high
Pale pitcher plant (Nepenthes),Nepenthes ventricosa,high
Villose pitcher plant,Nepenthes villosa,high
Catnip,Nepeta cataria,high
Rambutan,Nephelium lappaceum,high
Toothed Sword Fern,Nephrolepis acutifolia,medium
Giant Sword Fern,Nephrolepis biserrata,medium
Lemon Button Fern,Nephrolepis cordifolia,medium
Boston fern,Nephrolepis exaltata,medium
Fluffy Ruffle Fern,Nephrolepis exaltata 'Fluffy Ruffles',medium
Fishtail Sword Fern,Nephrolepis falcata,medium
Sword Fern,Nephrolepis hirsutula,medium
Kimberly Queen Fern,Nephrolepis obliterata,medium
Erect Sword Fern,Nephrolepis pendula,medium
Bowden Lily,Nerine bowdenii,high
Oleander,Nerium oleander,very_high
Coral bead plant,Nertera granadensis,medium
Blushing Cup,Nidularium fulgens,medium
Bird's Nest Bromeliad,Nidularium innocentii,medium
Sweet Basil,Ocimum basilicum,very_high
African Basil,Ocimum gratissimum,high
Holy Basil (Tulsi),Ocimum tenuiflorum,very_high
Crisped Odontoglossum,Odontoglossum crispum,medium
European Olive,Olea europaea,very_high
Dancing Lady Orchid,Oncidium altissimum,high
Terete Oncidium,Oncidium cebolleta,high
Hybrid Dancing Lady,Oncidium hybridum,high
White-lipped Oncidium,Oncidium leucochilum,high
Spotted Oncidium,Oncidium maculatum,high
Pink Dancing Lady,Oncidium ornithorhynchum,medium
Golden Shower Orchid,Oncidium sphacelatum,high
Tiger Oncidium,Oncidium tigrinum,high
Varicose Oncidium,Oncidium varicosum,high
Beavertail Cactus,Opuntia basilaris,very_high
Prickly Pear Cactus,Opuntia ficus-indica,very_high
Bunny Ears Cactus,Opuntia microdasys,very_high
Cinnamon Cactus,Opuntia rufida,very_high
Santa Rita Prickly Pear,Opuntia santa-rita,very_high
Old Man of the Andes,Oreocereus celsianus,very_high
Dittany of Crete,Origanum dictamnus,high
Sweet Marjoram,Origanum majorana,very_high
Greek Oregano,Origanum onites,high
Common Oregano,Origanum vulgare,very_high
Greek Oregano,Origanum vulgare subsp. hirtum,very_high
Dwarf Chinese dunce cap,Orostachys boehmeri,high
Chinese dunce cap,Orostachys iwarenge,high
Spinosa orostachys,Orostachys spinosa,very_high
Zebra Orthophytum,Orthophytum gurkenii,high
African daisy (osteospermum),Osteospermum ecklonis,high
Cape daisy,Osteospermum jucundum,high
Little tree othonna,Othonna arbuscula,very_high
Ruby necklace,Othonna capensis,high
Club-leaf othonna,Othonna clavifolia,very_high
Little pickles,Othonna cylindrica,high
Spiny othonna,Othonna euphorbioides,very_high
Herre's othonna,Othonna herrei,very_high
Lobed othonna,Othonna lobata,high
Reflexed othonna,Othonna retrorsa,very_high
Three-veined othonna,Othonna triplinervia,high
Pink wood sorrel,Oxalis articulata,high
Iron Cross oxalis,Oxalis tetraphylla,medium
Iron Cross Shamrock (Good Luck Plant),Oxalis tetraphylla 'Iron Cross',medium
Shamrock plant (False shamrock),Oxalis triangularis,medium
Charmed Velvet Shamrock,Oxalis triangularis 'Charmed Velvet',medium
Charmed Wine Purple Shamrock,Oxalis triangularis 'Charmed Wine',medium
Buttercup oxalis,Oxalis versicolor,high
Money tree,Pachira aquatica,medium
Guiana Chestnut,Pachira glabra,medium
Mexican Fence Post Cactus,Pachycereus marginatus,very_high
Totem Pole Cactus,Pachycereus schottii,very_high
Wendy's wish pachyphytum,Pachyphytum bracteosum,very_high
Caesium Pachyphytum,Pachyphytum caesium,very_high
Compton carousel,Pachyphytum compactum,very_high
Fittkau's Pachyphytum,Pachyphytum fittkaui,very_high
Glaucum pachyphytum,Pachyphytum glutinicaule,very_high
Sticky moonstones,Pachyphytum hookeri,very_high
Moonstones,Pachyphytum oviferum,very_high
Werdermann's Pachyphytum,Pachyphytum werdermannii,very_high
Two-Spined Pachypodium,Pachypodium bispinosum,very_high
Pancake Pachypodium,Pachypodium brevicaule,very_high
Dense-Flowered Pachypodium,Pachypodium densiflorum,very_high
Silver Madagascar Palm,Pachypodium geayi,very_high
Horombe Pachypodium,Pachypodium horombense,very_high
Madagascar Palm,Pachypodium lamerei,very_high
Rosette Pachypodium,Pachypodium rosulatum,very_high
Saunders' Pachypodium,Pachypodium saundersii,very_high
Succulent Pachypodium,Pachypodium succulentum,very_high
Lollipop plant,Pachystachys coccinea,high
Yellow shrimp plant,Pachystachys lutea,high
Powder puff pachyveria,Pachyveria glauca,very_high
Bower of beauty (Pandorea),Pandorea jasminoides,high
Golden Slipper Orchid,Paphiopedilum armeniacum,low
Egg-in-a-Nest Orchid,Paphiopedilum bellatulum,low
Callous Slipper Orchid,Paphiopedilum callosum,low
Charlesworth's Slipper Orchid,Paphiopedilum charlesworthii,low
Concolor Slipper Orchid,Paphiopedilum concolor,low
Delenat's Slipper Orchid,Paphiopedilum delenatii,low
Fairrie's Slipper Orchid,Paphiopedilum fairrieanum,low
Hairy Slipper Orchid,Paphiopedilum hirsutissimum,low
Slipper Orchid,Paphiopedilum insigne,medium
Lawrence's Slipper Orchid,Paphiopedilum lawrenceanum,low
Hard-leaved Slipper Orchid,Paphiopedilum micranthum,low
Philippine Slipper Orchid,Paphiopedilum philippinense,medium
Rothschild's Slipper Orchid,Paphiopedilum rothschildianum,medium
Spicer's Slipper Orchid,Paphiopedilum spicerianum,low
Sukhakul's Slipper Orchid,Paphiopedilum sukhakulii,low
Charming Slipper Orchid,Paphiopedilum venustum,low
Hairy Slipper Orchid,Paphiopedilum villosum,low
Buining's parodia,Parodia buiningii,very_high
Golden Spine Ball Cactus,Parodia chrysacanthion,high
Crassispina ball cactus,Parodia crassigibba,very_high
Scarlet Ball Cactus,Parodia haselbergii,very_high
Golden Ball Cactus,Parodia leninghausii,very_high
Notocactus Ball Cactus,Parodia magnifica,very_high
Tom Thumb cactus,Parodia mammulosa,high
Tiny Tom cactus,Parodia microsperma,very_high
Indian Head Cactus,Parodia ottonis,very_high
Silver ball cactus,Parodia scopa,high
Lemon ball cactus,Parodia warasii,very_high
Notocactus / blue ball cactus,Parodia werdermanniana,very_high
Parodia werneri,Parodia werneri,very_high
Wing-stemmed passionflower,Passiflora alata,high
Blue passionflower,Passiflora caerulea,high
Red passionflower,Passiflora coccinea,high
Purple Passionfruit,Passiflora edulis,very_high
Lady Margaret passionflower,Passiflora racemosa,high
Crimson passionflower / scarlet flame,Passiflora vitifolia,high
Hybrid Pelargonium,Pelargonium × hybridum,high
Sorrel Geranium,Pelargonium acetosum,high
Rose-scented Pelargonium,Pelargonium capitatum,high
Lemon Geranium,Pelargonium crispum,high
Hooded-leaf Pelargonium,Pelargonium cucullatum,high
Pine Geranium,Pelargonium denticulatum,high
Nutmeg Geranium,Pelargonium fragrans,high
Scented geranium (rose),Pelargonium graveolens,high
Coconut Geranium,Pelargonium grossularioides,high
Zonal Geranium,Pelargonium hortorum,high
Scarlet Geranium,Pelargonium inquinans,high
Apple Geranium,Pelargonium odoratissimum,high
Ivy-leaved geranium,Pelargonium peltatum,high
Oak-leaved Geranium,Pelargonium quercifolium,high
African Geranium,Pelargonium sidoides,high
Peppermint Geranium,Pelargonium tomentosum,medium
Regal geranium,Pelargonium x domesticum,high
Variegated Geranium,Pelargonium x hortorum 'Variegatum',high
Horseshoe Geranium,Pelargonium zonale,high
Hatchet cactus,Pelecyphora aselliformis,very_high
Button Fern,Pellaea rotundifolia,medium
Trailing watermelon begonia,Pellionia pulchra,medium
Brazilian Pellionia / Trailing Watermelon Begonia,Pellionia repens,medium
Egyptian Star Cluster,Pentas lanceolata,high
Hope Peperomia,Peperomia 'Hope',medium
Napoli Nights Peperomia,Peperomia 'Napoli Nights',medium
Ruby Cascade Peperomia,Peperomia 'Ruby Cascade',medium
Peperomia albovittata,Peperomia albovittata,medium
Piccolo Banda Peperomia,Peperomia albovittata 'Piccolo Banda',medium
Beetle Peperomia,Peperomia angulata,medium
Watermelon peperomia,Peperomia argyreia,medium
Ruby Cascade Peperomia,Peperomia blanda,medium
Emerald Ripple Peperomia,Peperomia caperata,medium
Peperomia Frost,Peperomia caperata 'Frost',medium
Peperomia Rosso,Peperomia caperata 'Rosso',medium
Schumi Red Peperomia,Peperomia caperata 'Schumi Red',medium
Watermelon Begonia Peperomia,Peperomia clusiifolia,medium
Tricolor Peperomia,Peperomia clusiifolia 'Ginny',medium
Rainbow Peperomia (Jelly / Tricolor),Peperomia clusiifolia 'Rainbow',medium
Columnar Peperomia,Peperomia columella,high
Peperomia Ferreyrae (Happy Bean),Peperomia ferreyrae,high
Wax privet,Peperomia glabella,medium
Ruby Glow Peperomia,Peperomia graveolens,high
Ivy-Leaf Peperomia,Peperomia griseoargentea,medium
Felted Peperomia,Peperomia incana,high
Peperomia Quito,Peperomia maculosa,medium
Metallic Peperomia,Peperomia metallica,medium
Columbian Peperomia,Peperomia metallica var. colombiana,medium
Jade Necklace Peperomia,Peperomia nivalis,high
Baby rubber plant (Peperomia),Peperomia obtusifolia,medium
Variegated Peperomia,Peperomia obtusifolia 'Variegata',medium
Peperomia Pixie Lime,Peperomia orba,medium
Raindrop Peperomia,Peperomia polybotrya,medium
String of Turtles,Peperomia prostrata,medium
Parallel Peperomia,Peperomia puteolata,medium
Parallel Peperomia,Peperomia quadrangularis,medium
Peperomia Rana Verde,Peperomia rana verde,medium
Trailing Jade Peperomia,Peperomia rotundifolia,medium
Ruby Cascade Peperomia,Peperomia rubella,medium
Cupid peperomia,Peperomia serpens,medium
Peperomia Hope,Peperomia tetraphylla,medium
Peperomia Verticillata (Belly Button),Peperomia verticillata,medium
Barbados gooseberry,Pereskia aculeata,high
Leaf cactus,Pereskia bleo,high
Rose cactus,Pereskia grandifolia,high
Cineraria,Pericallis cruenta,medium
Florist's cineraria,Pericallis hybrida,medium
Shiso (Perilla),Perilla frutescens,high
Avocado,Persea americana,high
Vietnamese Coriander,Persicaria odorata,medium
Flat-leaf Parsley,Petroselinum crispum,high
Garden Petunia,Petunia hybrida,high
Violet-flowered Petunia,Petunia integrifolia,high
Nun's Orchid,Phaius tankervilleae,medium
Moth Orchid,Phalaenopsis amabilis,medium
Aphrodite Moth Orchid,Phalaenopsis aphrodite,medium
Bellina Orchid,Phalaenopsis bellina,medium
Deer Antler Orchid,Phalaenopsis cornu-cervi,medium
Horse Moth Orchid,Phalaenopsis equestris,medium
Banded Moth Orchid,Phalaenopsis fasciata,medium
Giant Phalaenopsis,Phalaenopsis gigantea,medium
Hieroglyphic Moth Orchid,Phalaenopsis hieroglyphica,medium
Lueddemann's Moth Orchid,Phalaenopsis lueddemanniana,medium
Mann's Moth Orchid,Phalaenopsis mannii,medium
Beautiful Moth Orchid,Phalaenopsis pulcherrima,medium
Sander's Moth Orchid,Phalaenopsis sanderiana,medium
Schiller's Moth Orchid,Phalaenopsis schilleriana,medium
Stuart's Moth Orchid,Phalaenopsis stuartiana,medium
Violet Moth Orchid,Phalaenopsis violacea,medium
Philodendron Autumn,Philodendron 'Autumn',medium
Congo Green Philodendron,Philodendron 'Congo Green',medium
Florida Beauty Philodendron,Philodendron 'Florida Beauty',high
Florida Philodendron,Philodendron 'Florida',medium
Hope Selloum,Philodendron 'Hope',medium
Jose Buono Philodendron,Philodendron 'Jose Buono',high
Little Hope Philodendron,Philodendron 'Little Hope',medium
McColley's Finale,Philodendron 'McColley's Finale',medium
Moonlight Philodendron,Philodendron 'Moonlight',medium
Pink Congo Philodendron,Philodendron 'Pink Congo',medium
Prince of Orange Philodendron,Philodendron 'Prince of Orange',medium
Ring of Fire Philodendron,Philodendron 'Ring of Fire',medium
Rojo Congo Philodendron,Philodendron 'Rojo Congo',medium
Billietiae Philodendron,Philodendron billietiae,medium
Variegated Billietiae Philodendron,Philodendron billietiae 'Variegated',high
Fiddleleaf Philodendron,Philodendron bipennifolium,medium
Tree Philodendron,Philodendron bipinnatifidum,high
Silver Leaf Philodendron,Philodendron brandtianum,medium
Philodendron burle marx,Philodendron burle-marxii,medium
Spadeleaf Philodendron,Philodendron domesticum,medium
Blushing Philodendron,Philodendron erubescens,medium
Birkin Philodendron,Philodendron erubescens 'Birkin',medium
Black Cardinal Philodendron,Philodendron erubescens 'Black Cardinal',medium
Imperial Green Philodendron,Philodendron erubescens 'Imperial Green',medium
Imperial Red Philodendron,Philodendron erubescens 'Imperial Red',medium
Pink Princess Philodendron,Philodendron erubescens 'Pink Princess',medium
Strawberry Shake Philodendron,Philodendron erubescens 'Strawberry Shake',medium
White Knight Philodendron,Philodendron erubescens 'White Knight',medium
White Princess Philodendron,Philodendron erubescens 'White Princess',medium
White Wizard Philodendron,Philodendron erubescens 'White Wizard',medium
Giant Philodendron,Philodendron giganteum,medium
Philodendron Gloriosum,Philodendron gloriosum,medium
Dark Form Gloriosum,Philodendron gloriosum 'Dark Form',medium
Grazielae Philodendron,Philodendron grazielae,medium
Philodendron Hastatum,Philodendron hastatum,medium
Silver Sword Philodendron,Philodendron hastatum 'Silver Sword',medium
Heartleaf philodendron,Philodendron hederaceum,low
Philodendron Brasil,Philodendron hederaceum 'Brasil',low
Cream Splash Philodendron,Philodendron hederaceum 'Cream Splash',medium
Lemon Lime Philodendron,Philodendron hederaceum 'Lemon Lime',low
Velvet Leaf Philodendron (Micans),Philodendron hederaceum 'Micans',low
Rio Philodendron,Philodendron hederaceum 'Rio',medium
